順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑9","1","10","非鉄金属","+4.04","+1.53%","1"
"2","↑5","1","7","銀行業","+2.27","-0.58%","0"
"3","↑1","4","4","卸売業","+2.07","-1.27%","0"
"4","↑22","1","26","ガラス・土石","+1.91","+1.04%","1"
"5","↓4","0","1","石油・石炭","+1.51","-3.40%","0"
"6","↑13","1","19","電気機器","+1.39","-0.37%","0"
"7","↑20","1","27","海運業","+1.22","+0.56%","1"
"8","↑5","1","13","機械","+1.18","-0.87%","0"
"9","↓3","0","6","証券・商品","+0.83","-2.12%","0"
"10","↓8","0","2","鉱業","+0.82","-3.75%","0"
"11","↓8","0","3","保険業","+0.75","-3.65%","0"
"12","↑8","1","20","繊維製品","+0.73","-0.65%","0"
"13","↓8","0","5","その他金融業","+0.42","-2.85%","0"
"14","↑11","1","25","化学","+0.38","-0.50%","0"
"15","↑3","1","18","建設業","+0.18","-1.63%","0"
"16","↑1","3","17","輸送用機器","+0.18","-1.65%","0"
"17","↓2","0","15","電気・ガス","+0.01","-1.96%","0"
"18","↓7","0","11","パルプ・紙","-0.10","-2.48%","0"
"19","↓5","0","14","鉄鋼","-0.15","-2.12%","0"
"20","↑13","1","33","その他製品","-0.21","+0.94%","1"
"21","↑1","2","22","食料品","-0.26","-1.36%","0"
"22","↑10","1","32","金属製品","-0.28","+0.07%","2"
"23","→","0","23","医薬品","-0.33","-1.41%","0"
"24","↑4","1","28","水産・農林業","-0.34","-0.81%","0"
"25","↓16","0","9","情報・通信業","-0.54","-3.09%","0"
"26","↓18","0","8","不動産業","-0.66","-3.28%","0"
"27","↓11","0","16","ゴム製品","-0.87","-2.79%","0"
"28","↓16","0","12","倉庫・運輸","-1.09","-3.15%","0"
"29","↑1","1","30","精密機器","-1.14","-1.51%","0"
"30","↓9","0","21","陸運業","-1.25","-2.62%","0"
"31","↓7","0","24","小売業","-1.53","-2.59%","0"
"32","↓1","0","31","空運業","-1.68","-1.73%","0"
"33","↓4","0","29","サービス業","-2.27","-2.73%","0"